prompt_1,prompt_2,emo_1,emo_2,track_ids,emotional_alignment,progression,cohesion,diversity,overall_appeal,overall,rationale
I'm feeling hopeful after a rough day.,,hopeful,calm,"['0Nhq2Vs6Xpn3KVPhbXys10', '0WqHfOb9inmZ8z90gS4RhZ', '2QsGINCIcPHYTjLn111Pk8', '5l70e7dFbPtBu3u45jgbHq', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks begin with uplifting tones, progressing to more serene, reflective vibes, aligning well with a transition from hopeful to calm. Cohesion slightly off due to varied tempo. Good artist diversity."
I'm frustrated.,Help me reach a more overwhelmed mood.,frustrated,overwhelmed,"['6Op2gmDbZbx99IGX0TqCi7', '5ci5B6xNix4wtY5NzxhUNs', '5P7oEMQwgGTcGXlJpZNuFF', '07BsfUDPTWpaGqx4ilgV4l', '4PQgxRWdk2GnjgpTYBNDaZ', '3v1FPBfBPWPh1cXUJQut5V', '12aXbGD3BAT2DqUaCxkMht']",0,0,1,3,1,1.0,"The playlist aims to transition from frustration to overwhelmed, but the emotional alignment and progression are off. Cohesion is somewhat maintained, diversity is decent. Appeal is low due to poor emotional journey."
Right now I'm calm,could you guide me toward feeling sad?,calm,sad,"['5Ov4caTPkHL91PwwZEkF6j', '1r8PtoHnru1m7yU2isQhAx', '05Gf6nskkTPYQY2RCAUFYn', '2mZlz3lflR0fn0eH4w50wz', '7HMyVPOve5NHgT0p7pW4G2', '3K6TvJ7UWlMNpl0KiWJJJ7', '5C07XnwVVRmLfij97egCEN']",4,4,3,3,4,3.6,"Tracks transition from calm to sad effectively, maintaining a smooth emotional journey. Some style variations, but overall cohesive and engaging."
I'm joyful.,Help me reach a more calm mood.,joyful,calm,"['2ta8HicnJ5NUoFeByede7P', '7pj5eaRtATspZoJbA28K8p', '7jncL77vlRYlSBfp4cPaUF', '4IdTMKaY3rEOiwB7ndvWXU', '63LKwSAkPrvvz8JcH20u9y', '6FMUO0qi4hOKxbPsfowpfY', '05Gf6nskkTPYQY2RCAUFYn']",4,5,4,3,4,4.0,"Smooth transition from joyful to calm, well-ordered tracks. Cohesion mostly consistent, though some style variation. Good diversity, appealing selection."
Today was exhausting and I'm quite joyful.,I want to end up nostalgic.,joyful,nostalgic,"['1QICld5r8JwCY8I3LHGWMf', '52M3cMLNFux0MkAPBd1tbg', '4ia3HpxBkSRxJ75xBBU0Lf', '3eD1e1jN0k6Q0y4qvrXBa5', '4uSjfs3qdb3Xu9GQY1zb6C', '1UtuByJ5cPWGMPBH0oCZF1', '1gffl54e1GZftc0e3yp55H']",3,4,3,4,3,3.4,"Tracks transition from joyful to nostalgic well, but some style jumps. Good artist variety, generally enjoyable."
Me siento lonely.,Mi objetivo es sentirme hopeful de camino a casa.,lonely,hopeful,"['0vHLfFCmIpP34eAbiDEjyR', '0nqvtR9JWgUykjJaVOCbJT', '5eBxac0b8FPViBqERr4Ujq', '5Eiy6F1wsxETjncRWbEYp9', '1s65HRPwZtSG5dBIBZ0dix', '1r8PtoHnru1m7yU2isQhAx', '0Xq8Zr0lidfO879l6jWEbn']",4,4,3,4,4,3.8,"Tracks transition well from loneliness to hope. Cohesion slightly off due to varied styles. Good artist diversity, enjoyable overall."
Right now I'm calm,could you guide me toward feeling motivated?,calm,motivated,"['5Ov4caTPkHL91PwwZEkF6j', '1r8PtoHnru1m7yU2isQhAx', '3vPeec1iyTNZ6TGcccNU4Z', '2DKwhPHQGLPKk4yfRLXrw6', '1wzrKrgY0Vvut3aAXiJBil', '0J2GTcB7E6kXRMp0bWN6CA', '5QdgpcfAw8EbsupH0B6BpI']",4,4,3,4,4,3.8,"Smooth transition from calm to motivated. Tracks start gentle, build energy. Some style jumps, but overall engaging and diverse."
Right now I'm sad,could you guide me toward feeling hopeful?,sad,hopeful,"['4ssEGWKCcdvk4wXzOpXEAo', '0oOV1mDHz90QhqMh9Oy5Vo', '6pF8BpsLMONgSqR9Un9Og3', '4A9maj3jPgCAUlgD2FiBHT', '722NlWS3QdJCZiVa4ZLvzW', '0ENeEhTJ6l4Hi467XER9L8', '0yJQHWzp27NwwZo2Cbp1Xg']",4,4,3,4,4,3.8,"Tracks transition well from sadness to hope, maintaining a consistent style and energy. Diverse artists enhance engagement. Some tracks could align better emotionally."
Currently grateful.,My goal is to feel hopeful on my way home.,grateful,hopeful,"['1xdRFXv3ytSOdj8GuT3Rge', '3mhfZz57Xbt7rBuTcxSR3p', '4GgOK4Y19fTb5vvldSMQmQ', '0AuM6Fku5nWZ0CM21YEzty', '1EbyTllypS4uyDn3cZSCmG', '6vQe0IAkKv2m7jBwgdM0cY', '3AnR2xcRzenLOJgpln4xWi']",4,4,3,4,4,3.8,"Tracks transition well from grateful to hopeful, with a smooth emotional journey. Cohesion slightly off due to varied styles. Good artist diversity and overall enjoyable."
Today was exhausting and I'm quite confident.,I want to end up nostalgic.,confident,nostalgic,"['7Lrgn4sKdlVywehdWauwny', '0zmaMRJ2mKNJSP2esc0LJg', '4z0TWcbvbpr7QAcoof5lB3', '4uSjfs3qdb3Xu9GQY1zb6C', '1gffl54e1GZftc0e3yp55H', '1UtuByJ5cPWGMPBH0oCZF1', '1xWFIA47dN7kKgB3pmuL1a']",4,4,3,5,4,4.0,"Tracks start with upbeat, confident tones, smoothly transitioning to reflective, nostalgic melodies. Diverse artists enhance engagement. Some style jumps slightly disrupt cohesion."
Today was exhausting and I'm quite overwhelmed.,I want to end up frustrated.,overwhelmed,frustrated,"['5rI1cPhtUF6cl7SzaPrVzk', '48T5Phhnd3AyxeNRq48SyW', '24yQmv8cDSFUmeoqUQBZUC', '10jp9QTf590wvik0arsXEp', '5ci5B6xNix4wtY5NzxhUNs', '3rJvnTcsDEJnCLyzSa6LJl', '6Op2gmDbZbx99IGX0TqCi7']",1,2,3,4,1,2.2,"Transition from overwhelmed to frustrated is unusual and poorly executed. Some tracks fit neither emotion. Cohesion and diversity are reasonable, but overall appeal is low due to strange emotional journey."
Today was exhausting and I'm quite confident.,I want to end up sad.,confident,sad,"['7Lrgn4sKdlVywehdWauwny', '0zmaMRJ2mKNJSP2esc0LJg', '2lkwyf1LLKLyWP0kVmxf5e', '6XkpzTGWgJz5F4OKQDT7Sd', '48T5Phhnd3AyxeNRq48SyW', '6JMnqXVev0UcD5HLTgdq4C', '7baZG24FVLXytqd4ut2PZO']",3,4,3,4,3,3.4,"Tracks transition from confident to sad but some are too abrupt. Good artist variety, but emotional journey could be smoother."
I'm feeling grateful after a rough day.,,grateful,joyful,"['77Ju3Cky6yTNG2AFshGdZs', '07bUsAiB39iXgB0Ac0b0L5', '1ROlE0TfZXEWxUsDo27mI3', '0nLmAD3Jb9bHDCbqmJ52Gg', '33rMVRu0uToCka8Tukt1Ym', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",4,4,3,4,4,3.8,"Tracks align well with a mood shift from gratitude to upliftment. Smooth progression, though some style jumps. Good artist variety, generally enjoyable."
Right now I'm nostalgic,could you guide me toward feeling frustrated?,nostalgic,frustrated,"['4JDqgBUNWFOTXsa6gaymvD', '3vPeec1iyTNZ6TGcccNU4Z', '5ld5lZWli8wszOOZvxG1mT', '4fMbbQS4dsUKVJldBgnfGl', '3wqKG0ZXiqoALNdQx9nwI4', '6Op2gmDbZbx99IGX0TqCi7', '6V2CtIy7PXE22dBnhQW4hZ']",1,2,3,4,2,2.4,"Transition from nostalgia to frustration is unclear. Some tracks are too calm for frustration. Cohesion and diversity are reasonable, but emotional journey and appeal are weak."
Today was exhausting and I'm quite frustrated.,I want to end up joyful.,frustrated,joyful,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '2Qmyjqintv80skLBH3W5GQ', '4uSjfs3qdb3Xu9GQY1zb6C', '3N3L0iC9NfyFCwd2pT3UNR', '7oeJtWREh7o5Smqc4zIbDF', '3yxK0vLErBXrCo5FwxtN4k']",4,4,3,4,4,3.8,"Tracks transition from frustration to joy smoothly, with a good artist variety. Some style jumps slightly disrupt cohesion but maintain engagement."
I'm frustrated.,Help me reach a more sad mood.,frustrated,sad,"['6Op2gmDbZbx99IGX0TqCi7', '5P7oEMQwgGTcGXlJpZNuFF', '5ci5B6xNix4wtY5NzxhUNs', '0q65HQJewwBeEJTENBClKo', '0T4U6bGMYZnEUOGv7PNvT5', '3EFY0fFOOXev1sCtQpjgoZ', '1eAZTu3kRk98Exu0n92YMC']",3,4,3,4,3,3.4,"Tracks transition from frustration to sadness effectively. Cohesion is moderate, with some style shifts. Good artist diversity. Overall, a smooth and engaging journey."
Currently nostalgic.,My goal is to feel sad on my way home.,nostalgic,sad,"['2mHFFFMX87sjIislelhuKd', '7sLdAaSdQzwiYFyD2SVGhV', '2kJVEHb4eL5BeZfa6mhTB6', '4QwY2xrIK5mnQq8yGQknsJ', '05XNhXc8OErWjOajl5MEfs', '0gCIS66sZn1FITN7SKpAwm', '64tn8CALJvvEsa2wpHSdPK']",4,4,3,4,4,3.8,"Tracks transition well from nostalgic to sad, maintaining a smooth emotional journey. Some style variation, but overall cohesive and engaging."
Right now I'm motivated,could you guide me toward feeling grateful?,motivated,grateful,"['1oTOTgdSnDJpqZQ5plmfHy', '3wqRuLTeONBixfV37b23O1', '1jm21WPqN59BAx8LHkpm6D', '5Z6vLPtKVaWTSH3OIHM235', '1efZiQbrOB7j0S5Rt77cDb', '2yuRw2sCh2cCyzzv8fEFO9', '4u1yIfUAhI93pnu1wOgNrN']",4,4,3,4,4,3.8,"Tracks transition well from motivated to grateful, maintaining a smooth emotional journey. Slight cohesion issues with tempo changes, but diverse artists enhance engagement."
I'm nostalgic.,Help me reach a more grateful mood.,nostalgic,grateful,"['279SEvAy3nPp80sTBby5ho', '0HazdqciEvWSSvrFJV8oAM', '4JDqgBUNWFOTXsa6gaymvD', '7Gw93IJtLR0YN4XpX67D8U', '3I4xXptKXm9NVmTTZUcmho', '1duTRIYguMfmNZfjU3dxfP', '3t7O56GozFhzysHxXmAXsG']",4,4,3,4,4,3.8,"Tracks transition well from nostalgic to grateful, maintaining a smooth emotional journey. Some style variations, but overall cohesive and engaging."
Currently motivated.,My goal is to feel confident on my way home.,motivated,confident,"['0FCPoULJJPlMwTY50apSyv', '1r8PtoHnru1m7yU2isQhAx', '0AuM6Fku5nWZ0CM21YEzty', '5FzH97VguESmSKjjUAcif2', '1EbyTllypS4uyDn3cZSCmG', '0Xq8Zr0lidfO879l6jWEbn', '7jOQW1JBmkd949yPlN96jN']",4,4,3,4,4,3.8,"Tracks align well from motivated to confident. Smooth progression, though some style jumps. Good artist variety, generally enjoyable."
Today was exhausting and I'm quite motivated.,I want to end up confident.,motivated,confident,"['4ewZn2w635rv1014KtFQdv', '7Lrgn4sKdlVywehdWauwny', '4z0TWcbvbpr7QAcoof5lB3', '10a7XGkOOhYWlT5aVoql5x', '3brWqJXCbUema3tJcOQh5a', '4uSjfs3qdb3Xu9GQY1zb6C', '3NHv3dCmvxMMvkqjGwO8Q9']",4,4,3,4,4,3.8,"Tracks align well from exhaustion to confidence, with a smooth progression. Cohesion slightly off due to varied styles. Good artist diversity and overall enjoyable."
I'm feeling anxious after a rough day.,,anxious,joyful,"['64ZjFdkEKsX2uRvXlYKXYe', '0pcafp3GO11hPVqIFXkp27', '7AAvoPBlOEF9PXH1NmjPol', '6CvTbrBxxc5jFwqsivhpxh', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks transition from calming to uplifting, aligning with moving from anxiety to relaxation. Cohesion slightly off due to varied styles. Good diversity and appeal."
Currently motivated.,My goal is to feel frustrated on my way home.,motivated,frustrated,"['0FCPoULJJPlMwTY50apSyv', '1r8PtoHnru1m7yU2isQhAx', '0yS0XhFaCIq85IYdxfVN76', '07BsfUDPTWpaGqx4ilgV4l', '5dowqkY18nlVDfSmkIM24v', '607lloe4XOrsGXSMOg2X1p', '0QRAmOpc8TxGQVPoGv8ZkX']",1,1,2,3,1,1.6,"Transition from motivated to frustrated is unusual and not well supported. Some tracks fit neither emotion. Cohesion somewhat maintained, diversity is average."
Today was exhausting and I'm quite frustrated.,I want to end up sad.,frustrated,sad,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '10jp9QTf590wvik0arsXEp', '7MKr73aYnsBTE0aLiGMvj8', '7baZG24FVLXytqd4ut2PZO', '0q65HQJewwBeEJTENBClKo', '6JMnqXVev0UcD5HLTgdq4C']",3,4,3,4,3,3.4,"Tracks transition from frustration to sadness effectively, but some style jumps. Diverse artists enhance engagement, appealing for most."
Today was exhausting and I'm quite confident.,I want to end up lonely.,confident,lonely,"['7Lrgn4sKdlVywehdWauwny', '2lkwyf1LLKLyWP0kVmxf5e', '4z0TWcbvbpr7QAcoof5lB3', '0yT7JAgiKvBrMrstpb4aq4', '1jxaHzbJefjHM547sjq17f', '012WOYxLPav7JDgl2CWTom', '7tuvW7Pic91ha9iJCH1cJP']",2,3,3,4,2,2.8,"Tracks begin with energy, fitting a confident mood, but transition to loneliness is abrupt. Diversity in artists is good, but overall appeal suffers from jarring emotional shifts."
Right now I'm overwhelmed,could you guide me toward feeling sad?,overwhelmed,sad,"['4ewZn2w635rv1014KtFQdv', '5VHcXeuY3UKtr98xo3sTOI', '48T5Phhnd3AyxeNRq48SyW', '0oOV1mDHz90QhqMh9Oy5Vo', '3vFoiKbS6cHQQbWxV6OTIz', '1ynYeqIJCktT1XIXv8UGMn', '5C07XnwVVRmLfij97egCEN']",4,4,3,4,4,3.8,"Tracks transition well from overwhelmed to sad, maintaining a consistent emotional journey. Some style variations, but overall engaging and diverse."
Today was exhausting and I'm quite hopeful.,I want to end up joyful.,hopeful,joyful,"['5gpBDwutKLPPuh2Yzwt2Eh', '0WqHfOb9inmZ8z90gS4RhZ', '0Nhq2Vs6Xpn3KVPhbXys10', '3N3L0iC9NfyFCwd2pT3UNR', '6S6dSWpaYawQNSZi38wqtB', '7oeJtWREh7o5Smqc4zIbDF', '3yxK0vLErBXrCo5FwxtN4k']",4,4,3,4,4,3.8,"Tracks align well from hopeful to joyful. Progression is smooth, though one song's energy slightly disrupts flow. Good artist variety, generally enjoyable."
I'm nostalgic.,Help me reach a more frustrated mood.,nostalgic,frustrated,"['279SEvAy3nPp80sTBby5ho', '0HazdqciEvWSSvrFJV8oAM', '0q65HQJewwBeEJTENBClKo', '31EYM7iJC3FEADrfzA4bmD', '7MZqvAWQ4flM8GocWrczvY', '3rCZ9UKN0ozxLdbKzzbHgi', '0CEX2aPG0v5y3GRw3QPkS7']",2,3,2,4,2,2.6,"Transition from nostalgia to frustration is unusual and not well supported. Some tracks align, but overall progression and cohesion are weak. Good artist diversity."
Right now I'm overwhelmed,could you guide me toward feeling nostalgic?,overwhelmed,nostalgic,"['4ewZn2w635rv1014KtFQdv', '2kdkcUjo182sfnzgX89zGm', '1tVrxVVCZNHLHcVG47vbgC', '5DNG6om8yUbOViP66YwIgc', '1AJfENY8SjpJXSDuum7IQq', '3Rkupgvdn4wQD6rWGHE10W', '11TwaVcT3DhbzmqJM6VE4D']",4,4,3,4,4,3.8,"Tracks move from overwhelming to nostalgic, with smooth transitions. Some style variations might be slightly jarring but maintain listener interest."
I'm motivated.,Help me reach a more joyful mood.,motivated,joyful,"['1xSSV0IVVKfjSZgsVmxi5R', '4t8Q2xAsT1QwlOYWal7EMl', '3vpB1CpR9JWe3CLXb6JNeF', '3PbdrxBtAx6Rnw6eolHfxw', '4IdTMKaY3rEOiwB7ndvWXU', '2hevmDEQVP2GnNrLRbuILw', '67ibXkmavZoN2S6m86p70f']",4,4,3,3,4,3.6,"Tracks transition well from motivated to joyful, maintaining energy. Some style jumps, but diverse artists keep it engaging. Generally enjoyable."
Currently confident.,My goal is to feel frustrated on my way home.,confident,frustrated,"['5FzH97VguESmSKjjUAcif2', '5Ov4caTPkHL91PwwZEkF6j', '1r8PtoHnru1m7yU2isQhAx', '0Xq8Zr0lidfO879l6jWEbn', '07BsfUDPTWpaGqx4ilgV4l', '5dowqkY18nlVDfSmkIM24v', '607lloe4XOrsGXSMOg2X1p']",1,1,2,3,1,1.6,"Transition from confidence to frustration is unusual and not well executed. Cohesion is moderate, diversity is fair, but emotional journey and appeal are weak."
Right now I'm motivated,could you guide me toward feeling hopeful?,motivated,hopeful,"['1oTOTgdSnDJpqZQ5plmfHy', '3wqRuLTeONBixfV37b23O1', '4t8Q2xAsT1QwlOYWal7EMl', '0AuM6Fku5nWZ0CM21YEzty', '0VPXoow1nODhfTFEZAg5oI', '0yJQHWzp27NwwZo2Cbp1Xg', '0ENeEhTJ6l4Hi467XER9L8']",4,4,3,3,4,3.6,"Tracks transition well from motivated to hopeful, maintaining a smooth emotional journey. Some style inconsistencies but overall engaging and diverse."
Me siento anxious después de un día duro.,,anxious,sad,"['76kfYbXwvtzwb86QShG6ro', '0pcafp3GO11hPVqIFXkp27', '6CvTbrBxxc5jFwqsivhpxh', '5ld5lZWli8wszOOZvxG1mT', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks start with higher energy, reflecting anxiety, and gradually transition to calmer tones. Some style jumps slightly disrupt cohesion but maintain engagement."
Currently sad.,My goal is to feel overwhelmed on my way home.,sad,overwhelmed,"['6pF8BpsLMONgSqR9Un9Og3', '4ssEGWKCcdvk4wXzOpXEAo', '7AECzR4nCBWGe9ZX4dysT8', '0gCIS66sZn1FITN7SKpAwm', '3JS6dKB1zFIc7pVMDtZQhN', '7K8FQJivsq0IeUBVOqGbKB', '7jOQW1JBmkd949yPlN96jN']",1,1,2,3,1,1.6,Transition from sad to overwhelmed is unclear. Playlist lacks smooth emotional progression and engagement. Some diversity in artists.
Today was exhausting and I'm quite nostalgic.,I want to end up calm.,nostalgic,calm,"['5pUDt2BjrwMw4Eeq9utiGX', '5rI1cPhtUF6cl7SzaPrVzk', '4z0TWcbvbpr7QAcoof5lB3', '3eD1e1jN0k6Q0y4qvrXBa5', '4uSjfs3qdb3Xu9GQY1zb6C', '1akQJ9Qen8mPrMFMpnrHE4', '1xWFIA47dN7kKgB3pmuL1a']",4,4,3,3,4,3.6,"Tracks transition well from nostalgic to calm. Cohesion and diversity are moderate, with some stylistic jumps. Overall, a pleasant and engaging journey."
I'm feeling grateful after a rough day.,,grateful,lonely,"['77Ju3Cky6yTNG2AFshGdZs', '07bUsAiB39iXgB0Ac0b0L5', '1ROlE0TfZXEWxUsDo27mI3', '0nLmAD3Jb9bHDCbqmJ52Gg', '33rMVRu0uToCka8Tukt1Ym', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",3,4,4,3,4,3.6,"Tracks transition from reflective to uplifting, matching the journey from gratitude to a more positive state. Cohesion and diversity are balanced, but emotional alignment could be more precise."
Today was exhausting and I'm quite nostalgic.,I want to end up confident.,nostalgic,confident,"['5pUDt2BjrwMw4Eeq9utiGX', '4z0TWcbvbpr7QAcoof5lB3', '6v4qHnAMt7ihkr0s0YS7M5', '4uSjfs3qdb3Xu9GQY1zb6C', '1gffl54e1GZftc0e3yp55H', '3brWqJXCbUema3tJcOQh5a', '3NHv3dCmvxMMvkqjGwO8Q9']",4,4,3,4,4,3.8,"Tracks transition well from nostalgic to confident, maintaining a smooth emotional journey. Slight style jumps, but diverse artists keep engagement high."
I'm hopeful.,Help me reach a more joyful mood.,hopeful,joyful,"['0Nhq2Vs6Xpn3KVPhbXys10', '5Lli3VgydVEtXrueefq9Vj', '6bWESrTCz3hvMWwyF7AuOg', '0ZODh9hRWsFktyBT6SuttX', '51MO9z6KTEe4eEfQpyqIcK', '4IdTMKaY3rEOiwB7ndvWXU', '67ibXkmavZoN2S6m86p70f']",4,4,3,4,4,3.8,"Tracks transition well from hopeful to joyful, maintaining a smooth emotional journey. Some style jumps, but overall engaging and diverse."
Currently calm.,My goal is to feel anxious on my way home.,calm,anxious,"['1r8PtoHnru1m7yU2isQhAx', '05Gf6nskkTPYQY2RCAUFYn', '4doeZ0Lf1g42qGUa4fguIX', '6VEjmS91cTafHVUpsgc8og', '6vGyyW6TTZ4SvTQaXUHp0w', '7MjU567kPxgeu2RYBOIBGs', '0M6WOcD2JuHPhdaQWNQzXs']",2,3,2,4,2,2.6,"Progression from calm to anxious is somewhat abrupt, lacking smooth transitions. Diversity is good, but emotional alignment and cohesion are weak, making the playlist less enjoyable overall."
Right now I'm hopeful,could you guide me toward feeling calm?,hopeful,calm,"['0Nhq2Vs6Xpn3KVPhbXys10', '1gAu1GvVR0iMkCJCCzLr6o', '0yJQHWzp27NwwZo2Cbp1Xg', '2FCZlBfVNWH1oW9dUvsEgH', '0D1kdslDXUSfwwXnrL0DJH', '3Mb9Pqo2DLXEEiUwCP8jTz', '13AO6AQ9Ehe3MY4RiMKS0e']",4,4,4,3,4,3.8,"Tracks transition well from hopeful to calm, maintaining a smooth flow and consistent style. Diversity could be better with more varied artists."
Ahora mismo estoy nostalgic,¿puedes llevarme a sentirme confident?,nostalgic,confident,"['2mHFFFMX87sjIislelhuKd', '0J03lAiDMN7y57be6wHiQU', '0imCDiE6muhZUx65nsHX8n', '6R8OzLpj7aJo1yi3Bt9Ewt', '2FCZlBfVNWH1oW9dUvsEgH', '0pMUR7Uvp6vxlbG0qBFvgM', '5YrAr9tgwXO8ERU1q77EHp']",4,4,3,3,4,3.6,"Tracks transition well from nostalgic to confident. Cohesion and diversity are moderate, with some style shifts. Overall, appealing and engaging journey."
Ahora mismo estoy joyful,¿puedes llevarme a sentirme lonely?,joyful,lonely,"['7pj5eaRtATspZoJbA28K8p', '2ta8HicnJ5NUoFeByede7P', '43IERoI7NDFaL3BlhTwq6V', '78IY4EmDkTwvTzqq3g3Knu', '4Yoqbdj1zBACDw3BCtSW18', '6MGdtDVZUWoXgaTxXfQgsu', '4Swy34sr0SxOkiQllmVUwp']",4,4,3,4,3,3.6,"Tracks transition from joyful to lonely effectively, maintaining a smooth emotional journey. Some style inconsistencies, but diverse artists enhance engagement. Overall, appealing to most listeners."
Me siento calm.,Mi objetivo es sentirme anxious de camino a casa.,calm,anxious,"['1r8PtoHnru1m7yU2isQhAx', '4doeZ0Lf1g42qGUa4fguIX', '5VttkLTHSvbKYbjsJ3wMIW', '6CvTbrBxxc5jFwqsivhpxh', '6FCzihXACDQH5j4E4Z0qZM', '0M6WOcD2JuHPhdaQWNQzXs', '7MjU567kPxgeu2RYBOIBGs']",1,2,2,3,1,1.8,"Tracks do not align well with transitioning from calm to anxious. Progression and cohesion are somewhat maintained, but the emotional journey is unclear. Diversity is moderate. Appeal is low due to mismatched emotions."
I'm feeling calm after a rough day.,,calm,hopeful,"['2zfidR8QEnYmExpm88sJ1C', '4HHQIVrsKL1ff5HIC7zztP', '1r8PtoHnru1m7yU2isQhAx', '2DKwhPHQGLPKk4yfRLXrw6', '33rMVRu0uToCka8Tukt1Ym', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",4,4,3,3,4,3.6,"Tracks transition from calm to uplifting, matching the emotional journey. Cohesion and diversity are moderate, with some style shifts. Overall, enjoyable and fitting progression."
Me siento lonely.,Mi objetivo es sentirme overwhelmed de camino a casa.,lonely,overwhelmed,"['0vHLfFCmIpP34eAbiDEjyR', '0nqvtR9JWgUykjJaVOCbJT', '6c3bHkPkiIdJcUeO4FSqv4', '5hfVfqVcKft3vq10A3MRbl', '5Eiy6F1wsxETjncRWbEYp9', '0Wub3XXznQVDcNGZ9Ek8Kv', '1r8PtoHnru1m7yU2isQhAx']",2,3,3,4,3,3.0,"Transition from loneliness to feeling overwhelmed is attempted but not smooth. Diversity is good, but emotional alignment and progression could be better structured."
Currently hopeful.,My goal is to feel nostalgic on my way home.,hopeful,nostalgic,"['3ToiPAGNcj4IdvcuxPjHWo', '0Nhq2Vs6Xpn3KVPhbXys10', '1EbyTllypS4uyDn3cZSCmG', '6vQe0IAkKv2m7jBwgdM0cY', '7jOQW1JBmkd949yPlN96jN', '7ng65uK2hGvkPvH81to7eJ', '3BgbOrJTnKfMpHwfsGs8zg']",4,4,3,4,4,3.8,"Tracks smoothly transition from hopeful to nostalgic, maintaining a reflective mood. Slight style variations, but overall cohesive and engaging."
I'm nostalgic.,Help me reach a more frustrated mood.,nostalgic,frustrated,"['279SEvAy3nPp80sTBby5ho', '0HazdqciEvWSSvrFJV8oAM', '0q65HQJewwBeEJTENBClKo', '31EYM7iJC3FEADrfzA4bmD', '7MZqvAWQ4flM8GocWrczvY', '3rCZ9UKN0ozxLdbKzzbHgi', '0CEX2aPG0v5y3GRw3QPkS7']",2,3,3,4,2,2.8,"Tracks transition from nostalgic to frustrated, but shift is abrupt. Diverse artists, but overall appeal limited by niche emotion transition."
Me siento joyful.,Mi objetivo es sentirme frustrated de camino a casa.,joyful,frustrated,"['2ta8HicnJ5NUoFeByede7P', '5Qx2ae1Cpxec2b4qe32SZU', '54FE5xXqphSR93rVIZ7V4j', '3n9oH01YjAuzEmjFuETtbp', '1r8PtoHnru1m7yU2isQhAx', '3cIbINZSGKZ1GKBgABzuvI', '0Wub3XXznQVDcNGZ9Ek8Kv']",0,0,0,0,0,0.0,Unable to judge without listening to tracks. Transition from joyful to frustrated is unusual and challenging to assess theoretically.
